Model,Price
"Redmi Note 8 (Neptune Blue, 4GB RAM, 64GB Storage)","10,999"
"Redmi 8A Dual (Sea Blue, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery","6,999"
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","16,999"
"Redmi Note 8 (Space Black, 4GB RAM, 64GB Storage)","10,999"
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","12,699"
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery","7,999"
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","16,999"
"Redmi Note 8 (Cosmic Purple, 4GB RAM, 64GB Storage)","10,999"
"Redmi 8A Dual (Sky White, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery","6,999"
"Redmi Note 8 (Moonlight White, 4GB RAM, 64GB Storage)","10,999"
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 64GB Storage)","15,999"
"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)","12,699"
"Redmi 8A Dual (Midnight Grey, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery","6,999"
"OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 128GB Storage, 3800mAH Battery)","34,999"
"Samsung Galaxy M21 (Midnight Blue, 6GB RAM, 128GB Storage)","14,999"
"Mi Redmi Go (Blue, 16 GB) (1 GB RAM)","4,960"
"Redmi 8A Dual (Midnight Grey, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery","7,999"
"Samsung Galaxy M31 (Space Black, 6GB RAM, 64GB Storage)","15,999"
"OnePlus 7T (Frosted Silver, 8GB RAM, Fluid AMOLED Display, 128GB Storage, 3800mAH Battery)","34,999"
"Samsung Galaxy M30s (Blue, 4GB RAM, 64GB Storage)","14,999"
"Samsung Galaxy M20 (Ocean Blue , 4GB RAM, 64GB Storage, 5000mAH Battery)","11,499"
"Redmi Note 8 (Neptune Blue, 6GB RAM, 128GB Storage) - Extra 1,000 Off on Exchange & 6 Month No Cost EMI","13,999"
"Samsung Galaxy M21 (Raven Black, 6GB RAM, 128GB Storage)","14,999"
"Samsung Galaxy M30 (Gradation Blue, 4GB RAM, Super AMOLED Display, 64GB Storage, 5000mAH Battery)","12,999"
"Vivo U20 (Blazing Blue, Snapdragon 675 AIE, 6GB RAM, 64GB","12,990"
"Vivo U20 (Blazing Blue, Snapdragon 675 AIE, 4GB RAM, 64GB Storage)","11,990"
"Poco F1 by Xiaomi (Steel Blue, 6GB RAM, SD 845, 128GB Storage) - 6 Month No Cost EMI","14,999"
"OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 3800mAH Battery)","37,999"
"Samsung Galaxy M30s (Blue, 6GB RAM, 128GB Storage)","16,999"
"Redmi 8A Dual (Sky White, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery","7,999"
"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)","16,999"
"Redmi Note 8 Pro (Electric Blue, 6GB RAM, 128GB Storage with Helio G90T Processor)","16,999"
"Samsung Galaxy M30s (Opal Black, 4GB RAM, 64GB Storage)","14,999"
"Mi Redmi 6A (Black, 2GB RAM, 16GB Storage)","6,936"
"Vivo U10 (Electric Blue, 5000 mAH 18W Fast Charge Battery, 3GB RAM, 32GB Storage)","9,990"
"OnePlus 7 Pro (Mirror Grey, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 4000mAH Battery)","42,999"
"realme 5 Pro (Crystal Green, 8GB RAM, 128GB Storage)","16,999"
"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 64GB Storage with Helio G90T Processor) - 6 Month No Cost EMI","15,999"
"Samsung Galaxy M30s (Opal Black, 6GB RAM, 128GB Storage)","16,999"
"Redmi Note 8 (Moonlight White, 6GB RAM, 128GB Storage) - Extra 1,000 Off on Exchange & 6 Month No Cost EMI","13,999"
"Poco F1 by Xiaomi (Armored Edition, 8GB RAM, 256GB Storage) - Extra 2,000 Off on Exchange & Upto 6 Months No Cost EMI","17,999"
"Honor 20i (Midnight Black, 128GB Storage, Triple AI Camera)","10,999"
"Redmi Note 8 Pro (Electric Blue, 6GB RAM, 64GB Storage with Helio G90T Processor) - 6 Month No Cost EMI","15,999"
"Redmi Note 8 Pro (Shadow Black, 6GB RAM, 128GB Storage with Helio G90T Processor)","16,999"
"OnePlus 7T Pro (Haze Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 4085mAH Battery)","47,999"
"LG W30 (Platinum Gray, 3GB RAM, 32GB Storage)","7,499"
"Xiaomi Mi A3 (Not Just Blue, 4GB RAM, 64GB Storage) - Extra 1,000 Off on Exchange & 6 Month No Cost EMI","12,999"
"Redmi Note 8 Pro (Halo White, 6GB RAM, 128GB Storage with Helio G90T Processor)","16,999"
"realme 5 Pro (Sparkling Blue, 6GB RAM, 64GB Storage)","14,997"
