Brands,href,no_models
Acer,acer-phones-59.php,100 devices
alcatel,alcatel-phones-5.php,396 devices
Allview,allview-phones-88.php,154 devices
Amazon,amazon-phones-76.php,17 devices
Amoi,amoi-phones-28.php,47 devices
Apple,apple-phones-48.php,77 devices
Archos,archos-phones-90.php,43 devices
Asus,asus-phones-46.php,178 devices
AT&T,at&t-phones-57.php,4 devices
Benefon,benefon-phones-15.php,9 devices
BenQ,benq-phones-31.php,35 devices
BenQ-Siemens,benq_siemens-phones-42.php,27 devices
Bird,bird-phones-34.php,61 devices
BlackBerry,blackberry-phones-36.php,92 devices
Blackview,blackview-phones-116.php,6 devices
BLU,blu-phones-67.php,308 devices
Bosch,bosch-phones-10.php,10 devices
BQ,bq-phones-108.php,20 devices
Casio,casio-phones-77.php,5 devices
Cat,cat-phones-89.php,15 devices
Celkon,celkon-phones-75.php,229 devices
Chea,chea-phones-24.php,12 devices
Coolpad,coolpad-phones-105.php,33 devices
Dell,dell-phones-61.php,20 devices
Emporia,emporia-phones-93.php,15 devices
Energizer,energizer-phones-106.php,48 devices
Ericsson,ericsson-phones-2.php,40 devices
Eten,eten-phones-40.php,22 devices
Fujitsu Siemens,fujitsu_siemens-phones-50.php,2 devices
Garmin-Asus,garmin_asus-phones-65.php,5 devices
Gigabyte,gigabyte-phones-47.php,63 devices
Gionee,gionee-phones-92.php,79 devices
Google,google-phones-107.php,12 devices
Haier,haier-phones-33.php,59 devices
Honor,honor-phones-121.php,88 devices
HP,hp-phones-41.php,41 devices
HTC,htc-phones-45.php,265 devices
Huawei,huawei-phones-58.php,323 devices
i-mate,i_mate-phones-35.php,34 devices
i-mobile,i_mobile-phones-52.php,37 devices
Icemobile,icemobile-phones-69.php,61 devices
Infinix,infinix-phones-119.php,44 devices
Innostream,innostream-phones-29.php,18 devices
iNQ,inq-phones-60.php,5 devices
Intex,intex-phones-102.php,15 devices
Jolla,jolla-phones-84.php,3 devices
Karbonn,karbonn-phones-83.php,60 devices
Kyocera,kyocera-phones-17.php,24 devices
Lava,lava-phones-94.php,117 devices
LeEco,leeco-phones-109.php,9 devices
Lenovo,lenovo-phones-73.php,204 devices
LG,lg-phones-20.php,644 devices
Maxon,maxon-phones-14.php,31 devices
Maxwest,maxwest-phones-87.php,41 devices
Meizu,meizu-phones-74.php,61 devices
Micromax,micromax-phones-66.php,283 devices
Microsoft,microsoft-phones-64.php,30 devices
Mitac,mitac-phones-25.php,12 devices
Mitsubishi,mitsubishi-phones-8.php,25 devices
Modu,modu-phones-63.php,8 devices
Motorola,motorola-phones-4.php,488 devices
MWg,mwg-phones-56.php,5 devices
NEC,nec-phones-12.php,73 devices
Neonode,neonode-phones-22.php,3 devices
NIU,niu-phones-79.php,30 devices
Nokia,nokia-phones-1.php,492 devices
Nvidia,nvidia-phones-97.php,3 devices
O2,o2-phones-30.php,45 devices
OnePlus,oneplus-phones-95.php,20 devices
Oppo,oppo-phones-82.php,128 devices
Orange,orange-phones-71.php,19 devices
Palm,palm-phones-27.php,17 devices
Panasonic,panasonic-phones-6.php,123 devices
Pantech,pantech-phones-32.php,72 devices
Parla,parla-phones-81.php,10 devices
Philips,philips-phones-11.php,227 devices
Plum,plum-phones-72.php,107 devices
Posh,posh-phones-101.php,30 devices
Prestigio,prestigio-phones-86.php,56 devices
QMobile,qmobile-phones-103.php,90 devices
Qtek,qtek-phones-38.php,21 devices
Razer,razer-phones-117.php,2 devices
Realme,realme-phones-118.php,32 devices
Sagem,sagem-phones-13.php,120 devices
Samsung,samsung-phones-9.php,1233 devices
Sendo,sendo-phones-18.php,19 devices
Sewon,sewon-phones-26.php,25 devices
Sharp,sharp-phones-23.php,59 devices
Siemens,siemens-phones-3.php,94 devices
Sonim,sonim-phones-54.php,14 devices
Sony,sony-phones-7.php,145 devices
Sony Ericsson,sony_ericsson-phones-19.php,188 devices
Spice,spice-phones-68.php,120 devices
T-Mobile,t_mobile-phones-55.php,55 devices
TCL,tcl-phones-123.php,4 devices
TECNO,tecno-phones-120.php,47 devices
Tel.Me.,tel_me_-phones-21.php,7 devices
Telit,telit-phones-16.php,30 devices
Thuraya,thuraya-phones-49.php,1 devices
Toshiba,toshiba-phones-44.php,35 devices
Ulefone,ulefone-phones-124.php,20 devices
Unnecto,unnecto-phones-91.php,30 devices
Vertu,vertu-phones-39.php,17 devices
verykool,verykool-phones-70.php,139 devices
vivo,vivo-phones-98.php,138 devices
VK Mobile,vk_mobile-phones-37.php,31 devices
Vodafone,vodafone-phones-53.php,87 devices
Wiko,wiko-phones-96.php,67 devices
WND,wnd-phones-51.php,5 devices
XCute,xcute-phones-43.php,4 devices
Xiaomi,xiaomi-phones-80.php,145 devices
XOLO,xolo-phones-85.php,81 devices
Yezz,yezz-phones-78.php,93 devices
Yota,yota-phones-99.php,3 devices
YU,yu-phones-100.php,13 devices
ZTE,zte-phones-62.php,270 devices
